date,box,shelter,indiv,group
30/11/2021,1,1,RX,44530_1_1
30/11/2021,1,1,RW,44530_1_1
30/11/2021,1,1,GG,44530_1_1
30/11/2021,1,1,WG,44530_1_1
30/11/2021,1,1,XR,44530_1_1
30/11/2021,1,1,WX,44530_1_1
30/11/2021,1,1,GX,44530_1_1
30/11/2021,1,1,GR,44530_1_1
30/11/2021,1,1,XW,44530_1_1
30/11/2021,1,2,GW,44530_1_2
30/11/2021,1,2,XG,44530_1_2
30/11/2021,1,2,WW,44530_1_2
30/11/2021,1,2,BW,44530_1_2
30/11/2021,1,2,RB,44530_1_2
30/11/2021,1,2,BB,44530_1_2
30/11/2021,1,3,WB,44530_1_3
30/11/2021,1,3,BX,44530_1_3
30/11/2021,1,4,WR,44530_1_4
30/11/2021,1,4,BR,44530_1_4
30/11/2021,1,4,BG,44530_1_4
30/11/2021,1,4,RR,44530_1_4
30/11/2021,1,4,XB,44530_1_4
30/11/2021,1,4,GB,44530_1_4
30/11/2021,2,1,GW,44530_2_1
30/11/2021,2,1,WB,44530_2_1
30/11/2021,2,1,GR,44530_2_1
30/11/2021,2,1,GG,44530_2_1
30/11/2021,2,1,BX,44530_2_1
30/11/2021,2,1,RB,44530_2_1
30/11/2021,2,1,XB,44530_2_1
30/11/2021,2,1,RR,44530_2_1
30/11/2021,2,1,RX,44530_2_1
30/11/2021,2,1,BG,44530_2_1
30/11/2021,2,1,WW,44530_2_1
30/11/2021,2,1,WX,44530_2_1
30/11/2021,2,2,BB,44530_2_2
30/11/2021,2,2,BW,44530_2_2
30/11/2021,2,2,??,44530_2_2
30/11/2021,2,2,GB,44530_2_2
30/11/2021,2,3,XR,44530_2_3
30/11/2021,2,3,BR,44530_2_3
30/11/2021,2,3,RG,44530_2_3
30/11/2021,2,3,WR,44530_2_3
30/11/2021,2,3,GX,44530_2_3
30/11/2021,2,4,??,44530_2_4
30/11/2021,2,4,XW,44530_2_4
30/11/2021,2,4,RW,44530_2_4
30/11/2021,3,1,BX,44530_3_1
30/11/2021,3,2,BW,44530_3_2
30/11/2021,3,2,XW,44530_3_2
30/11/2021,3,2,BB,44530_3_2
30/11/2021,3,2,RR,44530_3_2
30/11/2021,3,2,GW,44530_3_2
30/11/2021,3,2,GG,44530_3_2
30/11/2021,3,2,XR,44530_3_2
30/11/2021,3,2,WX,44530_3_2
30/11/2021,3,2,WW,44530_3_2
30/11/2021,3,3,GR,44530_3_3
30/11/2021,3,3,XG,44530_3_3
30/11/2021,3,3,XB,44530_3_3
30/11/2021,3,3,GX,44530_3_3
30/11/2021,3,3,RX,44530_3_3
30/11/2021,3,3,RB,44530_3_3
30/11/2021,3,4,GB,44530_3_4
30/11/2021,3,4,WR,44530_3_4
30/11/2021,3,4,BR,44530_3_4
30/11/2021,4,1,BX,44530_4_1
30/11/2021,4,1,GX,44530_4_1
30/11/2021,4,1,WR,44530_4_1
30/11/2021,4,1,XW,44530_4_1
30/11/2021,4,1,GB,44530_4_1
30/11/2021,4,2,RR,44530_4_2
30/11/2021,4,2,WX,44530_4_2
30/11/2021,4,2,BB,44530_4_2
30/11/2021,4,2,WW,44530_4_2
30/11/2021,4,2,BX,44530_4_2
30/11/2021,4,2,RW,44530_4_2
30/11/2021,4,2,GW,44530_4_2
30/11/2021,4,3,RG,44530_4_3
30/11/2021,4,3,XR,44530_4_3
30/11/2021,4,3,BW,44530_4_3
30/11/2021,4,3,WB,44530_4_3
30/11/2021,4,4,GR,44530_4_4
30/11/2021,4,4,XG,44530_4_4
30/11/2021,4,4,RX,44530_4_4
30/11/2021,4,4,BR,44530_4_4
