date,box,id,partner,mass_id,mass_partner,camera
08/11/2021,1,1,2,2.53,2.48,11
08/11/2021,2,21,5,3.11,3.09,11
08/11/2021,3,24,7,2.51,2.92,11
08/11/2021,4,26,8,2.98,3.64,11
08/11/2021,5,3,9,2.74,3.09,11
08/11/2021,6,6,19,3.18,2.63,11
08/11/2021,7,11,20,2.39,3.13,12
08/11/2021,8,30,22,3.36,3.15,12
08/11/2021,9,4,23,3.19,2.8,12
08/11/2021,10,12,25,3.11,3.06,12
08/11/2021,11,29,27,3.38,2.7,12
08/11/2021,12,10,28,2.95,3.25,12
08/11/2021,13,46,14,1.77,1.62,13
08/11/2021,14,47,16,1.74,1.51,13
08/11/2021,15,40,17,1.72,1.47,13
08/11/2021,16,35,18,1.8,1.62,13
08/11/2021,17,38,31,1.59,1.56,13
08/11/2021,18,48,33,1.77,1.61,13
08/11/2021,19,37,34,1.71,1.64,14
08/11/2021,20,15,36,1.43,1.49,14
08/11/2021,21,44,39,1.72,1.4,14
08/11/2021,22,32,42,1.93,1.49,14
08/11/2021,23,13,43,1.83,1.84,14
08/11/2021,24,41,45,1.72,1.81,14
09/11/2021,1,5,4,2.96,3.08,11
09/11/2021,2,19,10,2.59,2.91,11
09/11/2021,3,22,29,3.06,3.27,11
09/11/2021,4,7,24,2.82,2.49,11
09/11/2021,5,9,26,2.93,2.95,11
09/11/2021,6,8,1,3.56,2.45,11
09/11/2021,7,20,12,3.1,3.07,12
09/11/2021,8,23,3,2.73,2.69,12
09/11/2021,9,2,11,2.46,2.28,12
09/11/2021,10,25,6,2.92,3.16,12
09/11/2021,11,28,21,3.23,3.09,12
09/11/2021,12,27,30,2.65,3.35,12
09/11/2021,13,42,13,1.4,1.82,13
09/11/2021,14,43,46,1.84,1.72,13
09/11/2021,15,31,47,1.47,1.76,13
09/11/2021,16,34,38,1.48,1.55,13
09/11/2021,17,17,32,1.41,1.8,13
09/11/2021,18,16,37,1.4,1.71,13
09/11/2021,19,14,48,1.56,1.73,14
09/11/2021,20,39,44,1.35,1.62,14
09/11/2021,21,45,40,1.66,1.62,14
09/11/2021,22,36,15,1.48,1.42,14
09/11/2021,23,33,35,1.56,1.74,14
09/11/2021,24,18,41,1.55,1.61,14
10/11/2021,1,59,70,NA,2.78,11
10/11/2021,2,68,72,NA,2.46,11
10/11/2021,3,67,60,NA,2.89,11
10/11/2021,4,64,56,NA,2.82,11
10/11/2021,5,69,66,NA,2.77,11
10/11/2021,6,55,57,NA,2.72,11
10/11/2021,7,52,71,NA,2.83,12
10/11/2021,8,65,51,NA,2.9,12
10/11/2021,9,62,54,NA,3.09,12
10/11/2021,10,50,53,NA,2.52,12
10/11/2021,11,58,63,NA,2.73,12
10/11/2021,12,49,61,NA,2.96,12
10/11/2021,13,96,81,NA,1.62,13
10/11/2021,14,93,79,NA,1.46,13
10/11/2021,15,76,94,NA,1.28,13
