date,camera,time,box,loc,notes
08/11/2021,11,14:46,1,0,
08/11/2021,11,14:46,2,0,
08/11/2021,11,14:46,3,3,
08/11/2021,11,14:46,4,6,
08/11/2021,11,14:46,5,0,
08/11/2021,11,14:46,6,0,
08/11/2021,11,14:56,1,3,
08/11/2021,11,14:56,2,8,
08/11/2021,11,14:56,3,3,
08/11/2021,11,14:56,4,8,
08/11/2021,11,14:56,5,0,
08/11/2021,11,14:56,6,NA,breached
08/11/2021,11,15:06,1,3,
08/11/2021,11,15:06,2,3,
08/11/2021,11,15:06,3,8,
08/11/2021,11,15:06,4,5,
08/11/2021,11,15:06,5,0,
08/11/2021,11,15:16,1,4,
08/11/2021,11,15:16,2,1,
08/11/2021,11,15:16,3,1,
08/11/2021,11,15:16,4,2,
08/11/2021,11,15:16,5,0,
08/11/2021,11,15:26,1,4,
08/11/2021,11,15:26,2,4,
08/11/2021,11,15:26,3,8,
08/11/2021,11,15:26,4,1,
08/11/2021,11,15:26,5,0,
08/11/2021,11,15:36,1,4,
08/11/2021,11,15:36,2,4,
08/11/2021,11,15:36,3,1,
08/11/2021,11,15:36,4,3,
08/11/2021,11,15:36,5,0,
08/11/2021,11,15:46,1,3,
08/11/2021,11,15:46,2,4,
08/11/2021,11,15:46,3,8,
08/11/2021,11,15:46,4,1,
08/11/2021,11,15:46,5,0,
08/11/2021,11,15:56,1,3,
08/11/2021,11,15:56,2,4,
08/11/2021,11,15:56,3,8,
08/11/2021,11,15:56,4,1,
08/11/2021,11,15:56,5,0,
08/11/2021,11,16:05,1,3,
08/11/2021,11,16:05,2,4,
08/11/2021,11,16:05,3,8,
08/11/2021,11,16:05,4,1,
08/11/2021,11,16:05,5,0,
09/11/2021,11,13:38,1,6,
09/11/2021,11,13:38,2,7,
09/11/2021,11,13:38,3,0,
09/11/2021,11,13:38,4,1,
09/11/2021,11,13:38,5,0,
09/11/2021,11,13:38,6,8,
09/11/2021,11,13:48,1,7,
09/11/2021,11,13:48,2,7,
09/11/2021,11,13:48,3,0,
09/11/2021,11,13:48,4,1,
09/11/2021,11,13:48,5,0,breached by partner
09/11/2021,11,13:48,6,8,
09/11/2021,11,13:58,1,4,
09/11/2021,11,13:58,2,7,
09/11/2021,11,13:58,3,0,
09/11/2021,11,13:58,4,1,
09/11/2021,11,13:58,6,8,
09/11/2021,11,14:08,1,3,
